TICKER,ebitda,de_ratio,debt_ebitda,npm,roa,roe,gsector,sic,description
ARL,25.776,0.474,8.793,0.613,0.032,0.082,60.0,6512,Nonresidential building operators
AMS,7.487,0.87,1.846,0.021,0.163,0.02,35.0,8090,
AVD,46.573,1.086,4.17,0.008,0.049,0.012,15.0,2870,
AME,2045.095,0.61,1.213,0.197,0.16,0.154,20.0,3823,Process control instruments
AMGN,13154.0,13.273,4.459,0.282,0.163,1.557,35.0,2836,"Biological products, except diagnostic"
AP,23.675,3.749,5.148,0.004,0.047,0.015,15.0,3312,Blast furnaces and steel mills
AXR,7.751,0.044,0.009,0.457,0.087,0.178,60.0,6552,"Subdividers and developers, nec"
AXR,,0.044,0.009,0.457,0.087,0.178,60.0,6552,"Subdividers and developers, nec"
ADI,4174.372,0.372,1.173,0.269,0.127,0.084,45.0,3674,Semiconductors and related devices
ANDE,382.509,2.108,2.726,0.004,0.078,0.052,30.0,5150,
APA,5074.0,17.546,1.128,0.175,0.384,1.612,10.0,1311,Crude petroleum and natural gas
APOG,183.836,1.266,1.233,0.071,0.191,0.259,20.0,3442,"Metal doors, sash, and trim"
AAPL,131416.0,4.673,1.009,0.253,0.348,1.719,45.0,3663,Radio and t.v. communications equipment
EPAC,150.02,1.335,1.821,0.09,0.183,0.163,20.0,3533,Oil and gas field machinery
ADM,5164.0,1.294,1.968,0.041,0.09,0.152,30.0,2070,
ARCB,323.757,1.041,1.456,0.029,0.124,0.105,20.0,4213,"Trucking, except local"
ARW,1673.996,2.745,2.208,0.031,0.089,0.191,45.0,5065,"Electronic parts and equipment, nec"
ARTW,2.336,1.165,3.394,0.033,0.093,0.089,20.0,3523,Farm machinery and equipment
ASH,407.0,0.918,3.582,0.077,0.067,0.051,15.0,2820,
ALOT,16.28,0.598,1.974,0.023,0.108,0.04,45.0,3577,"Computer peripheral equipment, nec"
ATRO,17.461,1.672,35.197,-0.062,0.009,-0.169,20.0,3640,
REX,86.633,0.128,0.194,0.057,0.124,0.107,10.0,2860,
ADSK,1311.0,6.789,2.102,0.172,0.14,0.853,45.0,7370,
ADP,5508.9,14.709,0.685,0.191,0.097,1.071,20.0,7374,Data processing and preparation
AVY,1260.9,2.995,2.951,0.058,0.143,0.233,15.0,2670,
AVT,983.625,1.638,2.653,0.03,0.107,0.178,45.0,5065,"Electronic parts and equipment, nec"
AZZ,318.066,1.544,3.606,0.055,0.127,0.093,20.0,3470,
BMI,140.886,0.384,,0.128,0.219,0.188,45.0,3824,Fluid meters and counting devices
BCPC,213.547,0.642,2.046,0.112,0.13,0.101,15.0,2860,
BALL,2112.0,4.368,5.121,0.043,0.097,0.147,15.0,3411,Metal cans
BPOP,1646.951,14.687,0.852,0.189,0.025,0.168,40.0,6020,
BPOP,,14.687,0.852,0.189,0.025,0.168,40.0,6020,
BOH,335.68,16.806,4.386,0.217,0.015,0.176,40.0,6020,
BOH,,16.806,4.386,0.217,0.015,0.176,40.0,6020,
BK,9746.0,9.204,5.386,0.118,0.022,0.102,40.0,6020,
BK,,9.204,5.386,0.118,0.022,0.102,40.0,6020,
B,285.215,0.944,2.948,0.018,0.108,0.017,20.0,3490,
BSET,11.402,0.998,6.429,0.016,0.044,0.033,25.0,2511,Wood household furniture
BAX,2976.0,3.526,5.324,0.002,0.105,0.006,35.0,3841,Surgical and medical instruments
AIT,548.177,0.874,1.212,0.082,0.209,0.269,20.0,5080,
BDX,5563.0,1.046,3.176,0.079,0.098,0.057,35.0,3841,Surgical and medical instruments
BELFB,110.614,0.926,0.904,0.113,0.199,0.279,45.0,3677,Electronic coils and transformers
VZ,47256.0,3.024,3.703,0.156,0.126,0.155,50.0,4812,Radiotelephone communication
BBY,2650.0,4.58,1.522,0.029,0.167,0.445,25.0,5731,"Radio, television, and electronic stores"
BIO,501.134,0.408,2.668,-0.059,0.041,-0.015,35.0,3826,Analytical instruments
BKH,729.5,2.076,6.444,0.101,0.076,0.072,55.0,4923,Gas transmission and distribution
HRB,927.061,-12.418,2.325,0.163,0.309,15.727,25.0,7200,
BA,2269.0,-9.523,24.541,-0.037,0.016,,20.0,3721,Aircraft
RHI,518.837,0.878,0.358,0.071,0.211,0.3,20.0,7363,Help supply services
BRC,273.287,0.398,0.336,0.136,0.19,0.188,20.0,3990,
BMY,18325.0,2.033,2.184,0.184,0.19,0.246,35.0,2834,Pharmaceutical preparations
CAL,253.838,2.989,3.427,0.056,0.13,0.347,25.0,5661,Shoe stores
BC,1074.6,2.015,2.308,0.076,0.18,0.242,25.0,3510,
MTRN,205.191,1.064,2.294,0.063,0.131,0.125,15.0,3330,
MTZ,755.173,2.45,4.497,-0.004,0.091,-0.015,20.0,1623,"Water, sewer, and utility lines"
UIS,178.4,-421.28,2.248,-0.128,0.116,-0.206,45.0,7373,Computer integrated systems design
RAMP,36.495,0.273,-6.301,-0.102,-0.006,-0.068,45.0,7370,
CI,,2.276,2.801,0.028,0.078,0.101,35.0,6324,Hospital and medical service plans
CI,12048.0,2.276,2.801,0.028,0.078,0.101,35.0,6324,Hospital and medical service plans
CNA,,6.131,2.166,0.084,0.023,0.126,40.0,6331,"Fire, marine, and casualty insurance"
CNA,1568.0,6.131,2.166,0.084,0.023,0.126,40.0,6331,"Fire, marine, and casualty insurance"
CSX,7035.0,2.385,2.579,0.262,0.173,0.191,20.0,4011,"Railroads, line-haul operating"
CTS,111.806,0.456,0.911,0.106,0.157,0.115,45.0,3670,
TLS,-32.023,0.305,-0.357,-0.275,-0.153,-0.241,45.0,7373,Computer integrated systems design
CVV,-3.816,0.266,-0.268,-0.013,-0.042,-0.012,45.0,3559,"Special industry machinery, nec"
CBT,778.0,1.738,2.061,0.113,0.187,0.391,15.0,2890,
CACI,791.853,1.086,2.85,0.055,0.108,0.112,20.0,7373,Computer integrated systems design
CWT,183.158,1.908,6.428,0.053,0.047,0.025,55.0,4941,Water supply
CPB,1829.0,2.311,2.905,0.085,0.141,0.171,30.0,2030,
STZ,3588.5,1.804,3.563,0.155,0.141,0.172,30.0,2082,Malt beverages
CAH,2880.0,-17.238,1.754,0.001,0.065,,35.0,5122,"Drugs, proprietaries, and sundries"
CSL,1131.4,1.353,2.704,0.148,0.128,0.217,20.0,2950,
CRS,488.7,1.244,2.394,0.04,0.107,0.071,15.0,3312,Blast furnaces and steel mills
CASY,1068.318,1.2,1.665,0.033,0.169,0.152,30.0,5412,
CAT,17358.0,3.643,2.125,0.137,0.212,0.534,20.0,3531,Construction machinery
CATO,-8.996,1.324,-239.71,-0.005,-0.001,-0.015,25.0,5621,Women's clothing stores
CVCO,200.907,0.332,0.137,0.102,0.197,0.199,25.0,2452,Prefabricated wood buildings
LUMN,4289.0,5.293,4.437,-0.766,0.102,-0.902,50.0,4813,"Telephone communication, except radio"
CHE,424.495,0.627,0.421,0.11,0.286,0.28,35.0,8082,Home health care services
JPM,94615.0,11.386,6.733,0.231,0.025,0.19,40.0,6020,
JPM,,11.386,6.733,0.231,0.025,0.19,40.0,6020,
CPK,226.659,1.588,3.61,0.131,0.1,0.08,55.0,4923,Gas transmission and distribution
IMNN,-20.783,0.459,-0.2,-222.87,-0.483,-0.938,35.0,2836,"Biological products, except diagnostic"
CVX,43555.0,0.596,0.518,0.126,0.174,0.144,10.0,2911,Petroleum refining
CVR,-4.562,0.101,0.0,-0.132,-0.125,-0.132,20.0,3452,"Bolts, nuts, rivets, and washers"
EAT,420.7,-13.795,5.909,0.033,0.149,,25.0,5812,Eating places
CHD,1283.7,1.237,2.068,0.076,0.153,0.098,30.0,2840,
CHDN,762.4,7.608,6.384,0.152,0.122,0.353,25.0,7990,
CTAS,2349.499,1.276,1.335,0.154,0.252,0.342,20.0,7200,
IHRT,600.62,96.996,8.908,-0.272,0.088,-0.945,50.0,4832,Radio broadcasting stations
CLF,1792.0,1.336,2.91,0.015,0.086,0.042,15.0,3310,
CLX,1174.0,44.609,3.063,0.012,0.167,0.331,30.0,2842,Polishes and sanitation goods
COKE,1015.777,1.978,0.74,0.068,0.267,0.335,30.0,2086,Bottled and canned soft drinks
KO,14415.0,2.736,2.904,0.239,0.149,0.391,30.0,2086,Bottled and canned soft drinks
CDE,90.502,1.008,6.823,-0.038,0.039,-0.031,15.0,1040,
COHU,99.141,0.266,0.594,0.075,0.103,0.055,45.0,3825,Instruments to measure electricity
CL,4673.0,193.236,1.983,0.083,0.281,1.622,30.0,2844,Toilet preparations
CMCSA,37650.0,2.139,2.702,0.125,0.148,0.137,50.0,4841,Cable and other pay television services
CMA,1976.0,15.236,5.854,0.232,0.025,0.236,40.0,6020,
CMA,,15.236,5.854,0.232,0.025,0.236,40.0,6020,
CBSH,,11.334,3.997,0.265,0.028,0.197,40.0,6020,
CBSH,893.468,11.334,3.997,0.265,0.028,0.197,40.0,6020,
C,,10.672,11.597,0.093,0.024,0.074,40.0,6199,
C,59350.0,10.672,11.597,0.093,0.024,0.074,40.0,6199,
CMC,973.971,0.611,0.948,0.098,0.216,0.216,15.0,3312,Blast furnaces and steel mills
CAR,4758.0,-90.38,4.918,0.149,0.174,,20.0,7510,
DXC,1667.0,3.317,3.246,-0.04,0.101,-0.139,45.0,7370,
CMTL,38.643,0.804,4.501,-0.03,0.049,-0.038,45.0,3663,Radio and t.v. communications equipment
CAG,2303.3,1.532,3.951,0.088,0.106,0.124,30.0,2000,
RAVE,3.158,0.381,0.596,0.141,0.171,0.162,25.0,6794,Patent owners and lessors
SSTK,195.199,0.895,0.352,0.135,0.233,0.249,50.0,7370,
TCI,21.088,0.343,12.071,0.816,0.023,0.084,60.0,6513,Apartment building operators
TCI,,0.343,12.071,0.816,0.023,0.084,60.0,6513,Apartment building operators
ED,4362.0,2.115,5.361,0.156,0.067,0.084,55.0,4931,Electric and other services combined
BH,77.659,0.473,1.364,0.055,0.097,0.033,25.0,5812,Eating places
CMS,2415.0,3.152,6.552,0.096,0.072,0.08,55.0,4931,Electric and other services combined
TAP,2271.7,1.016,2.945,0.022,0.086,0.016,30.0,2082,Malt beverages
GLW,2659.0,1.439,3.05,0.045,0.092,0.049,45.0,3679,"Electronic components, nec"
CBRL,187.567,3.677,5.489,0.025,0.098,0.156,25.0,5812,Eating places
CR,360.2,1.033,2.193,0.095,0.093,0.105,20.0,3490,
OMF,,6.545,7.854,0.125,0.093,0.214,40.0,6141,Personal credit institutions
OMF,2142.0,6.545,7.854,0.125,0.093,0.214,40.0,6141,Personal credit institutions
CCK,1882.0,5.593,4.147,0.042,0.124,0.249,15.0,3411,Metal cans
CRWS,8.331,0.65,2.782,0.053,0.098,0.088,25.0,2211,"Broadwoven fabric mills, cotton"
CFR,,14.509,4.385,0.268,0.021,0.225,40.0,6020,
CFR,1018.329,14.509,4.385,0.268,0.021,0.225,40.0,6020,
CULP,-3.735,0.668,-0.682,-0.085,-0.058,-0.197,25.0,2211,"Broadwoven fabric mills, cotton"
CMI,4398.0,2.057,1.862,0.084,0.143,0.281,20.0,3510,
CW,600.774,1.111,2.39,0.122,0.136,0.16,20.0,3728,"Aircraft parts and equipment, nec"
GTBP,-13.576,0.528,-0.008,,-0.829,-0.779,35.0,2834,Pharmaceutical preparations
WEN,513.205,12.312,8.305,0.091,0.093,0.283,25.0,5812,Eating places
DAN,754.0,3.756,3.754,-0.01,0.1,-0.063,25.0,3714,Motor vehicle parts and accessories
DHR,7463.0,0.663,3.021,0.206,0.081,0.109,35.0,3826,Analytical instruments
DAIO,1.056,0.39,1.346,0.03,0.055,0.045,45.0,3825,Instruments to measure electricity
DWSN,-2.628,0.759,-1.672,-0.147,-0.1,-0.348,10.0,1382,Oil and gas exploration services
TGT,8508.0,3.54,2.468,0.034,0.145,0.265,30.0,5331,Variety stores
DAL,8726.0,8.685,3.291,0.059,0.119,0.532,20.0,4512,"Air transportation, scheduled"
DLX,388.548,3.904,4.406,0.014,0.132,0.046,20.0,2780,
DTE,3849.0,3.056,5.485,0.09,0.085,0.098,55.0,4931,Electric and other services combined
ATGE,347.807,0.928,2.774,0.074,0.113,0.071,25.0,8200,
DBD,360.5,-4.364,6.527,0.321,0.104,,45.0,3578,Calculating and accounting equipment
NSYS,8.003,1.338,2.51,0.015,0.086,0.075,45.0,3679,"Electronic components, nec"
DDS,1104.328,1.129,0.483,0.113,0.319,0.471,25.0,5311,Department stores
DIOD,390.211,0.39,0.32,0.16,0.202,0.189,45.0,3674,Semiconductors and related devices
DIS,16904.0,0.932,3.528,0.026,0.07,0.022,50.0,4888,
DXYN,6.865,6.019,-28.418,-0.082,-0.02,-0.659,25.0,2273,Carpets and rugs
DG,3286.2,3.949,4.96,0.049,0.122,0.273,30.0,5331,Variety stores
D,6021.0,2.741,8.843,0.116,0.05,0.055,55.0,4911,Electric services
DCI,649.0,1.096,1.05,0.106,0.225,0.286,20.0,3714,Motor vehicle parts and accessories
DOV,1734.241,1.378,2.024,0.121,0.159,0.217,20.0,3559,"Special industry machinery, nec"
DD,2864.0,0.551,2.956,0.073,0.069,0.033,15.0,2820,
OMC,2443.0,6.746,2.692,0.096,0.096,0.393,50.0,7311,Advertising agencies
DCO,82.503,0.855,3.93,0.025,0.073,0.034,20.0,3728,"Aircraft parts and equipment, nec"
DUK,12447.0,2.611,6.664,0.13,0.066,0.064,55.0,4931,Electric and other services combined
DNB,740.3,1.691,4.999,-0.011,0.078,-0.006,20.0,7323,Credit reporting services
FLS,478.385,1.612,3.214,0.059,0.096,0.136,20.0,3561,Pumps and pumping equipment
DY,486.085,1.559,1.944,0.053,0.205,0.23,20.0,1623,"Water, sewer, and utility lines"
DYNT,-0.971,0.764,-1.837,-0.127,-0.099,-0.419,35.0,3845,Electromedical equipment
RVTY,832.647,0.821,5.005,0.076,0.062,0.027,35.0,3826,Analytical instruments
EML,24.449,1.028,3.573,0.019,0.076,0.041,20.0,3420,
KODK,35.0,0.891,9.919,0.067,0.018,0.077,45.0,3861,Photographic equipment and supplies
ECL,3049.8,1.871,3.094,0.082,0.138,0.158,15.0,2842,Polishes and sanitation goods
EDUC,-3.414,1.208,-20.884,-0.025,-0.021,-0.038,25.0,5190,
ELSE,0.108,0.057,0.013,0.042,0.018,0.026,45.0,3823,Process control instruments
EMR,4595.0,0.781,2.285,0.142,0.097,0.124,20.0,3823,Process control instruments
MSN,-3.373,0.198,-0.115,0.241,-0.068,0.088,25.0,3651,Household audio and video equipment
ATO,2025.334,1.071,4.261,0.207,0.075,0.072,55.0,4924,Natural gas distribution
MARA,68.94,1.052,97.558,-1.37,0.005,-0.653,45.0,7370,
EBF,74.024,0.181,0.17,0.107,0.192,0.136,20.0,2761,Manifold business forms
ENZ,-6.974,0.842,-0.319,-0.806,-0.202,-0.376,35.0,3826,Analytical instruments
EFX,1598.8,1.834,3.939,0.101,0.128,0.117,20.0,7323,Credit reporting services
EQT,4046.553,0.84,0.975,0.353,0.251,0.231,10.0,1311,Crude petroleum and natural gas
ESCA,23.482,0.823,4.203,0.036,0.076,0.06,25.0,3949,"Sporting and athletic goods, nec"
ESP,6.994,0.329,0.0,0.113,0.112,0.116,20.0,3679,"Electronic components, nec"
NEU,540.551,1.73,1.731,0.146,0.24,0.498,15.0,2860,
KINS,,8.988,-1.122,-0.09,-0.029,-0.372,40.0,6331,"Fire, marine, and casualty insurance"
KINS,-0.389,8.988,-1.122,-0.09,-0.029,-0.372,40.0,6331,"Fire, marine, and casualty insurance"
EXPD,1007.693,0.774,0.463,0.078,0.204,0.265,20.0,4731,Freight transportation arrangement
BOOM,108.833,0.813,1.634,0.037,0.12,0.07,10.0,3533,Oil and gas field machinery
IIIN,35.454,0.173,0.04,0.05,0.104,0.082,20.0,3310,
XOM,64402.0,0.821,0.62,0.119,0.187,0.189,10.0,2911,Petroleum refining
FMC,931.5,2.388,3.653,0.12,0.101,0.161,15.0,2870,
NEE,16116.0,2.591,4.665,0.278,0.093,0.15,55.0,4911,Electric services
FARM,-5.279,3.426,-8.324,-0.1,-0.022,-0.539,30.0,2090,
FDX,10528.0,2.411,3.833,0.047,0.116,0.142,20.0,4513,Air courier services
FSS,286.0,0.773,1.499,0.087,0.173,0.157,20.0,3711,Motor vehicles and car bodies
M,1273.0,3.104,3.148,0.028,0.116,0.139,25.0,5311,Department stores
LSTA,-25.519,0.094,-0.016,,-0.372,-0.333,35.0,2836,"Biological products, except diagnostic"
FITB,5020.0,10.94,3.91,0.212,0.024,0.166,40.0,6020,
FITB,,10.94,3.91,0.212,0.024,0.166,40.0,6020,
RF,3906.0,8.434,1.267,0.265,0.026,0.163,40.0,6020,
RF,,8.434,1.267,0.265,0.026,0.163,40.0,6020,
TRMK,,10.896,4.517,0.093,0.021,0.062,40.0,6020,
TRMK,374.966,10.896,4.517,0.093,0.021,0.062,40.0,6020,
FCNCA,,9.823,9.166,1.079,0.022,0.816,40.0,6020,
FCNCA,4302.0,9.823,9.166,1.079,0.022,0.816,40.0,6020,
MTB,5256.362,6.99,2.36,0.256,0.027,0.129,40.0,6020,
MTB,,6.99,2.36,0.256,0.027,0.129,40.0,6020,
USB,14196.0,11.884,5.977,0.144,0.02,0.124,40.0,6020,
USB,,11.884,5.977,0.144,0.02,0.124,40.0,6020,
FHN,1761.0,8.587,3.288,0.215,0.023,0.131,40.0,6020,
FHN,,8.587,3.288,0.215,0.023,0.131,40.0,6020,
FLXS,20.797,1.017,7.043,0.039,0.049,0.113,25.0,2510,
FLO,480.217,1.389,2.743,0.027,0.14,0.086,30.0,2050,
FLR,329.0,2.711,2.944,0.011,0.059,0.094,20.0,1600,
FONR,21.131,0.31,1.695,0.113,0.111,0.073,35.0,8071,Medical laboratories
F,19459.0,5.033,6.881,0.035,0.081,0.138,25.0,3711,Motor vehicles and car bodies
FSTR,30.964,1.485,2.859,-0.077,0.093,-0.28,20.0,5051,Metals service centers and offices
FELE,316.092,0.563,0.812,0.093,0.183,0.174,20.0,3621,Motors and generators
BEN,1701.7,1.389,6.422,0.115,0.063,0.073,40.0,6282,Investment advice
BEN,,1.389,6.422,0.115,0.063,0.073,40.0,6282,Investment advice
FEIM,7.143,1.198,2.007,0.056,0.048,0.078,45.0,3825,Instruments to measure electricity
FRD,27.588,0.764,1.829,0.037,0.117,0.163,15.0,3310,
FUL,568.238,1.747,3.476,0.042,0.118,0.089,15.0,2891,Adhesives and sealants
GATX,764.3,3.875,9.185,0.177,0.074,0.078,20.0,4700,
AJG,2928.3,3.806,2.503,0.118,0.064,0.12,40.0,6411,"Insurance agents, brokers, and service"
TGNA,742.34,1.396,3.424,0.2,0.127,0.174,50.0,4833,Television broadcasting stations
GD,5108.0,1.721,2.305,0.08,0.098,0.171,20.0,3721,Aircraft
GE,6358.0,4.216,4.389,0.142,0.035,0.285,20.0,9997,
GIS,4176.1,2.026,3.064,0.121,0.124,0.195,30.0,2040,
ALLY,3588.0,13.848,5.97,0.079,0.019,0.114,40.0,6172,
ALLY,,13.848,5.97,0.079,0.019,0.114,40.0,6172,
GM,27581.0,2.774,4.812,0.058,0.091,0.146,25.0,3711,Motor vehicles and car bodies
SPXC,311.6,0.973,1.688,0.052,0.13,0.079,20.0,3585,Refrigeration and heating equipment
GCO,64.167,1.629,8.638,-0.002,0.049,-0.008,25.0,5661,Shoe stores
GNTX,584.052,0.133,0.006,0.18,0.231,0.189,25.0,3714,Motor vehicle parts and accessories
GPC,2097.582,3.214,2.076,0.054,0.124,0.294,25.0,5013,Motor vehicle supplies and new parts
GLT,86.772,4.51,11.153,-0.072,0.047,-0.285,15.0,2621,Paper mills
GT,1746.0,3.37,5.969,-0.025,0.07,-0.094,25.0,3011,Tires and inner tubes
GRC,115.537,1.63,4.043,0.044,0.12,0.085,20.0,3561,Pumps and pumping equipment
GGG,718.643,0.272,0.173,0.239,0.277,0.269,20.0,3561,Pumps and pumping equipment
GHM,17.044,1.111,1.736,0.017,0.058,0.03,20.0,3443,Fabricated plate work (boiler shop)
GWW,2801.0,1.714,0.993,0.112,0.358,0.693,20.0,5000,
GTN,821.0,3.017,5.909,0.034,0.097,0.034,50.0,4833,Television broadcasting stations
GYRO,,,,,,,60.0,6512,Nonresidential building operators
GYRO,,,,,,,60.0,6512,Nonresidential building operators
HAL,5132.0,1.785,1.796,0.115,0.215,0.322,10.0,1389,"Oil and gas field services, nec"
LHX,3338.0,0.98,3.294,0.08,0.091,0.078,20.0,3812,Search and navigation equipment
NVRI,289.463,3.867,5.407,-0.028,0.098,-0.093,20.0,3390,
HAS,624.7,2.43,4.255,-0.103,0.103,-0.201,25.0,3944,"Games, toys, and children's vehicles"
ALNT,69.282,1.554,3.665,0.041,0.119,0.103,20.0,3621,Motors and generators
HVT,85.883,1.178,2.198,0.07,0.151,0.221,25.0,5712,Furniture stores
HE,679.912,6.318,5.242,0.056,0.042,0.085,55.0,4911,Electric services
HWKN,144.11,0.628,0.859,0.074,0.21,0.185,15.0,5160,
HCSG,77.699,0.677,0.765,0.019,0.094,0.073,20.0,8090,
STRL,281.112,1.905,1.733,0.061,0.174,0.221,20.0,1700,
HL,112.32,0.481,3.914,-0.061,0.049,-0.022,15.0,1040,
KHC,6257.0,0.835,3.159,0.11,0.071,0.051,30.0,2030,
HP,842.725,0.581,0.664,0.151,0.207,0.132,10.0,1381,Drilling oil and gas wells
HSY,2994.535,2.157,1.669,0.171,0.279,0.517,30.0,2060,
HTZ,2925.0,7.404,5.827,0.117,0.124,0.268,20.0,7510,
HPQ,5032.0,-35.616,2.121,0.061,0.134,,45.0,3570,
HXL,341.5,0.774,2.27,0.091,0.118,0.095,20.0,2821,Plastics materials and resins
HLT,2410.0,-11.705,3.863,0.131,0.161,,25.0,7011,Hotels and motels
DINO,3009.694,0.843,0.935,0.067,0.213,0.212,10.0,2911,Petroleum refining
HD,24709.0,64.002,1.993,0.102,0.326,8.391,25.0,5211,Lumber and other building materials
HNI,273.1,1.565,2.125,0.018,0.149,0.061,20.0,2522,"Office furniture, except wood"
CNP,3161.0,2.801,5.451,0.093,0.083,0.064,55.0,4931,Electric and other services combined
HUBB,1213.4,1.183,1.364,0.136,0.21,0.279,20.0,3640,
JBHT,1758.956,1.092,0.765,0.059,0.239,0.167,20.0,4213,"Trucking, except local"
HBAN,,9.127,3.671,0.227,0.023,0.149,40.0,6020,
HBAN,3917.0,9.127,3.671,0.227,0.023,0.149,40.0,6020,
ITT,630.4,0.633,0.719,0.134,0.169,0.194,20.0,3561,Pumps and pumping equipment
IDA,508.818,1.764,4.846,0.153,0.068,0.074,55.0,4911,Electric services
ITW,4435.0,4.079,1.839,0.196,0.285,0.877,20.0,3560,
RYI,319.3,1.76,2.843,0.018,0.096,0.097,15.0,5051,Metals service centers and offices
GFF,511.836,6.673,3.284,0.029,0.192,0.151,20.0,3420,
INTC,9633.0,0.815,5.978,-0.031,0.044,-0.016,45.0,3674,Semiconductors and related devices
CCRD,11.7,0.203,0.19,0.065,0.233,0.072,45.0,7372,Prepackaged software
TILE,152.297,2.292,3.985,0.0,0.116,0.001,20.0,2273,Carpets and rugs
IBM,13295.0,4.878,4.432,0.116,0.102,0.322,45.0,7370,
IFF,2047.0,0.975,5.722,0.002,0.057,0.001,15.0,2860,
IDCC,309.444,1.859,1.948,0.37,0.176,0.315,45.0,6794,Patent owners and lessors
IP,2234.0,1.79,3.416,0.039,0.101,0.072,15.0,2631,Paperboard mills
IPG,1747.0,3.752,2.726,0.086,0.097,0.257,50.0,7311,Advertising agencies
J,1091.491,1.128,2.363,0.041,0.103,0.102,20.0,7370,
EME,997.071,1.761,0.618,0.045,0.157,0.27,20.0,1731,Electrical work
JNJ,30414.0,1.516,1.358,0.148,0.165,0.157,35.0,2834,Pharmaceutical preparations
KLAC,4078.289,3.968,1.444,0.305,0.31,0.995,45.0,3827,Optical instruments and lenses
KMI,6500.0,1.22,4.859,0.155,0.093,0.078,10.0,4923,Gas transmission and distribution
PNRG,57.146,0.691,0.076,0.32,0.193,0.196,10.0,1311,Crude petroleum and natural gas
KAMN,107.958,1.214,5.274,-0.064,0.073,-0.069,20.0,3720,
EVRG,2458.0,2.137,5.749,0.124,0.074,0.058,55.0,4931,Electric and other services combined
K,1967.0,3.537,5.086,0.053,0.078,0.144,30.0,2040,
KELYA,102.4,1.088,0.661,0.005,0.039,0.019,20.0,7363,Help supply services
KMT,321.062,0.992,2.059,0.058,0.129,0.094,20.0,3540,
KEQU,21.406,2.129,2.546,0.032,0.139,0.185,35.0,3821,Laboratory apparatus and furniture
KTCC,17.365,2.226,6.494,0.007,0.052,0.034,45.0,3670,
KMB,3854.0,27.287,2.201,0.086,0.214,1.536,30.0,2621,Paper mills
KEX,544.239,0.806,2.433,0.066,0.091,0.054,20.0,4400,
KOSS,-1.681,0.22,-1.139,-0.145,-0.068,-0.06,25.0,3651,Household audio and video equipment
KR,8012.0,3.701,2.623,0.013,0.153,0.157,30.0,5411,Grocery stores
KLIC,42.209,0.277,0.531,0.077,0.059,0.047,45.0,3559,"Special industry machinery, nec"
LYTS,47.015,0.71,1.135,0.056,0.16,0.167,20.0,3640,
LXU,118.094,1.587,3.46,0.143,0.139,0.167,15.0,2810,
LZB,206.709,0.965,1.989,0.057,0.123,0.131,25.0,2510,
SR,766.7,2.336,7.044,0.082,0.066,0.07,55.0,4924,Natural gas distribution
